# n_neighbors,slab_index,site_index,metal_index,energy
1,0,0,3,-1.080508
1,0,1,0,-0.091158
1,0,2,3,-1.103949
1,0,3,3,-1.143858
1,0,4,1,-0.200600
1,0,5,0,-0.165704
1,0,6,1,-0.228354
1,0,7,1,-0.202162
1,0,8,3,-0.970109
1,1,0,1,-0.207506
1,1,1,3,-1.044223
1,1,2,0,-0.140028
1,1,3,1,-0.127658
1,1,4,4,-1.574325
1,1,5,1,-0.193707
1,1,6,1,-0.217334
1,1,7,0,-0.143076
1,1,8,0,-0.132611
1,2,0,5,0.037886
1,2,1,2,-0.577218
1,2,2,3,-1.143245
1,2,3,2,-0.643382
1,2,4,2,-0.555587
1,2,5,4,-1.466599
1,2,6,3,-1.185189
1,2,7,5,-0.010071
1,2,8,3,-1.141438
1,3,0,2,-0.492816
1,3,1,2,-0.430144
1,3,2,4,-1.526607
1,3,3,5,-0.026130
1,3,4,4,-1.533162
1,3,5,2,-0.451192
1,3,6,2,-0.463676
1,3,7,4,-1.650072
1,3,8,1,-0.328979
1,4,0,3,-1.088351
1,4,1,0,-0.179139
1,4,2,1,-0.072177
1,4,3,2,-0.582867
1,4,4,2,-0.574727
1,4,5,0,-0.130855
1,4,6,2,-0.501154
1,4,7,2,-0.512696
1,4,8,4,-1.246332
1,5,0,5,0.027593
1,5,1,5,0.027777
1,5,2,0,-0.144367
1,5,3,3,-1.137589
1,5,4,5,-0.004521
1,5,5,3,-1.188794
1,5,6,4,-1.296821
1,5,7,3,-1.027461
1,5,8,4,-1.641288
1,6,0,0,-0.148555
1,6,1,5,0.038158
1,6,2,1,-0.173619
1,6,3,0,-0.117206
1,6,4,2,-0.557963
1,6,5,0,-0.125039
1,6,6,0,-0.172298
1,6,7,2,-0.630622
1,6,8,2,-0.609084
1,7,0,4,-1.497145
1,7,1,3,-1.119751
1,7,2,4,-1.645693
1,7,3,4,-1.622952
1,7,4,3,-1.119748
1,7,5,5,-0.003166
1,7,6,1,-0.155680
1,7,7,4,-1.672507
1,7,8,3,-1.093248
1,8,0,2,-0.524581
1,8,1,0,-0.163388
1,8,2,1,-0.218954
1,8,3,2,-0.499993
1,8,4,4,-1.546691
1,8,5,1,-0.083650
1,8,6,0,-0.124222
1,8,7,1,-0.152635
1,8,8,0,-0.141385
1,9,0,2,-0.459292
1,9,1,2,-0.513152
1,9,2,4,-1.240249
1,9,3,1,-0.212688
1,9,4,2,-0.550121
1,9,5,2,-0.515707
1,9,6,5,-0.034671
1,9,7,1,-0.268077
1,9,8,2,-0.473394
1,10,0,0,-0.170755
1,10,1,4,-1.675709
1,10,2,2,-0.582447
1,10,3,3,-1.062660
1,10,4,0,-0.122120
1,10,5,4,-1.461651
1,10,6,2,-0.633270
1,10,7,0,-0.145777
1,10,8,2,-0.531790
1,11,0,2,-0.592416
1,11,1,3,-1.152171
1,11,2,2,-0.471967
1,11,3,3,-1.078453
1,11,4,4,-1.424891
1,11,5,5,-0.023696
1,11,6,4,-1.566174
1,11,7,3,-1.024764
1,11,8,3,-0.938439
1,12,0,1,-0.243515
1,12,1,5,-0.042136
1,12,2,3,-0.874569
1,12,3,3,-0.795006
1,12,4,3,-0.728884
1,12,5,3,-0.878671
1,12,6,3,-0.932729
1,12,7,1,-0.242633
1,12,8,1,-0.267580
