# n_neighbors,slab_index,site_index,metal_index,energy
1,0,0,3,-1.947327
1,0,1,0,-0.942536
1,0,2,3,-1.999077
1,0,3,3,-1.991497
1,0,4,1,-1.585895
1,0,5,0,-0.959364
1,0,6,1,-1.546894
1,0,7,1,-1.523867
1,0,8,3,-1.905131
1,1,0,1,-1.468964
1,1,1,3,-1.908141
1,1,2,0,-1.046129
1,1,3,1,-1.545306
1,1,4,4,-2.517543
1,1,5,1,-1.603912
1,1,6,1,-1.465640
1,1,7,0,-0.974971
1,1,8,0,-1.046402
1,2,0,5,-1.243981
1,2,1,2,-1.611231
1,2,2,3,-2.005733
1,2,3,2,-1.621111
1,2,4,2,-1.545097
1,2,5,4,-2.455829
1,2,6,3,-2.016136
1,2,7,5,-1.185288
1,2,8,3,-2.070374
1,3,0,2,-1.662895
1,3,1,2,-1.616104
1,3,2,4,-2.425698
1,3,3,5,-1.193524
1,3,4,4,-2.482873
1,3,5,2,-1.392632
1,3,6,2,-1.376016
1,3,7,4,-2.550698
1,3,8,1,-1.663652
1,4,0,3,-1.868915
1,4,1,0,-1.132114
1,4,2,1,-1.407116
1,4,3,2,-1.542386
1,4,4,2,-1.587374
1,4,5,0,-1.086820
1,4,6,2,-1.526171
1,4,7,2,-1.635344
1,4,8,4,-2.263825
1,5,0,5,-1.158273
1,5,1,5,-1.333784
1,5,2,0,-1.112715
1,5,3,3,-1.976854
1,5,4,5,-1.202698
1,5,5,3,-1.933973
1,5,6,4,-2.337613
1,5,7,3,-1.998069
1,5,8,4,-2.552332
1,6,0,0,-1.237736
1,6,1,5,-1.517545
1,6,2,1,-1.532700
1,6,3,0,-1.344179
1,6,4,2,-1.728178
1,6,5,0,-1.207080
1,6,6,0,-1.283396
1,6,7,2,-1.742976
1,6,8,2,-1.612307
1,7,0,4,-2.408116
1,7,1,3,-2.137214
1,7,2,4,-2.571703
1,7,3,4,-2.487884
1,7,4,3,-2.089783
1,7,5,5,-0.918174
1,7,6,1,-1.500881
1,7,7,4,-2.612541
1,7,8,3,-2.034297
1,8,0,2,-1.499769
1,8,1,0,-1.074945
1,8,2,1,-1.644125
1,8,3,2,-1.547918
1,8,4,4,-2.597337
1,8,5,1,-1.506425
1,8,6,0,-1.129627
1,8,7,1,-1.593160
1,8,8,0,-1.078531
1,9,0,2,-1.489459
1,9,1,2,-1.442303
1,9,2,4,-2.203000
1,9,3,1,-1.710181
1,9,4,2,-1.525542
1,9,5,2,-1.480427
1,9,6,5,-1.238307
1,9,7,1,-1.657137
1,9,8,2,-1.382824
1,10,0,0,-1.098188
1,10,1,4,-2.560933
1,10,2,2,-1.619718
1,10,3,3,-2.009824
1,10,4,0,-1.071692
1,10,5,4,-2.432038
1,10,6,2,-1.573283
1,10,7,0,-1.020315
1,10,8,2,-1.473750
1,11,0,2,-1.587762
1,11,1,3,-2.048023
1,11,2,2,-1.584818
1,11,3,3,-1.948576
1,11,4,4,-2.418401
1,11,5,5,-1.028974
1,11,6,4,-2.463597
1,11,7,3,-2.004908
1,11,8,3,-1.891599
1,12,0,1,-1.503177
1,12,1,5,-1.294794
1,12,2,3,-1.744045
1,12,3,3,-1.648309
1,12,4,3,-1.571341
1,12,5,3,-1.779525
1,12,6,3,-1.678677
1,12,7,1,-1.535428
1,12,8,1,-1.545380
1,13,0,4,-2.433905
1,13,1,2,-1.411916
1,13,2,3,-2.048258
1,13,3,2,-1.252668
1,13,4,3,-1.993353
1,13,5,3,-2.017711
1,13,6,4,-2.456014
1,13,7,0,-1.081077
1,13,8,4,-2.506787
1,14,0,2,-1.901994
1,14,1,0,-1.224235
1,14,2,2,-1.875486
1,14,3,5,-1.404001
1,14,4,2,-1.728053
1,14,5,2,-1.807442
1,14,6,5,-1.325976
1,14,7,5,-1.386481
1,14,8,1,-1.547040
1,15,0,0,-1.211565
1,15,1,3,-1.934509
1,15,2,0,-1.194080
1,15,3,0,-1.198982
1,15,4,0,-1.218310
1,15,5,0,-1.286489
1,15,6,3,-1.913788
1,15,7,0,-1.222884
1,15,8,5,-1.376697
1,16,0,1,-1.644323
1,16,1,2,-1.484415
1,16,2,1,-1.616009
1,16,3,1,-1.427835
1,16,4,1,-1.429007
1,16,5,1,-1.369196
1,16,6,5,-1.359543
1,16,7,1,-1.648736
1,16,8,1,-1.566798
1,17,0,5,-1.308834
1,17,1,4,-2.353284
1,17,2,4,-2.234137
1,17,3,5,-1.905479
1,17,4,5,-1.996725
1,17,5,1,-1.667584
1,17,6,5,-1.729660
1,17,7,5,-1.613199
1,17,8,5,-1.277155
1,18,0,3,-2.026060
1,18,1,0,-1.350545
1,18,2,0,-1.271471
1,18,3,2,-1.718972
1,18,4,5,-1.520893
1,18,5,1,-1.620901
1,18,6,0,-1.309012
1,18,7,0,-1.334345
1,18,8,2,-1.716385
1,19,0,0,-1.070960
1,19,1,5,-1.282262
1,19,2,1,-1.384838
1,19,3,1,-1.573679
1,19,4,1,-1.570395
1,19,5,4,-2.386348
1,19,6,1,-1.610380
1,19,7,5,-1.490007
1,19,8,1,-1.580760
1,20,0,1,-1.554330
1,20,1,2,-1.343408
1,20,2,1,-1.494335
1,20,3,2,-1.424039
1,20,4,1,-1.474416
1,20,5,2,-1.447913
1,20,6,3,-1.832514
1,20,7,1,-1.466711
1,20,8,3,-1.903758
1,21,0,2,-1.357279
1,21,1,2,-1.439192
1,21,2,4,-2.139593
1,21,3,2,-1.497903
1,21,4,2,-1.452835
1,21,5,4,-2.222975
1,21,6,2,-1.387815
1,21,7,4,-2.265583
1,21,8,2,-1.410462
1,22,0,3,-2.046605
1,22,1,1,-1.583162
1,22,2,0,-0.897258
1,22,3,3,-2.015847
1,22,4,3,-1.974611
1,22,5,1,-1.514042
1,22,6,1,-1.504086
1,22,7,3,-1.962575
1,22,8,1,-1.534594
1,23,0,2,-1.424968
1,23,1,2,-1.622377
1,23,2,1,-1.609680
1,23,3,1,-1.602333
1,23,4,1,-1.543330
1,23,5,1,-1.570212
1,23,6,1,-1.585658
