# n_neighbors,slab_index,site_index,metal_index,energy
1,0,0,3,-0.450169
1,0,1,0,0.049283
1,0,2,3,-0.495401
1,0,3,3,-0.546541
1,0,4,1,-0.156979
1,0,5,0,-0.020419
1,0,6,1,-0.109445
1,0,7,1,-0.104664
1,0,8,3,-0.388915
1,1,0,1,-0.199730
1,1,1,3,-0.511203
1,1,2,0,-0.019298
1,1,3,1,-0.092454
1,1,4,4,-0.742948
1,1,5,1,-0.141953
3,1,6,1,-0.413932
3,1,7,0,-0.715531
3,1,7,0,-0.713252
3,2,0,5,-1.464405
3,2,1,2,-1.466490
1,2,2,3,-0.589056
3,2,1,2,-1.455545
3,2,3,2,-1.124349
1,2,5,4,-0.695195
1,2,6,3,-0.585492
1,2,7,5,-0.702180
1,2,8,3,-0.528956
3,3,3,5,-1.371129
3,3,3,5,-1.317416
1,3,2,4,-0.683287
3,3,3,5,-1.380051
1,3,4,4,-0.777898
3,3,5,2,-1.364736
1,3,6,2,-0.448237
1,3,7,4,-0.773442
1,3,8,1,-0.255204
1,4,0,3,-0.482290
1,4,1,0,-0.152354
1,4,2,1,-0.122502
1,4,3,2,-0.737222
1,4,4,2,-0.815035
3,4,4,2,-1.212957
3,4,6,2,-1.160022
3,4,4,2,-1.235936
1,4,8,4,-0.564890
1,5,0,5,-0.600250
1,5,1,5,-0.728751
1,5,2,0,-0.125853
1,5,3,3,-0.502216
2,5,1,5,-1.471909
1,5,5,3,-0.536248
1,5,6,4,-0.538714
1,5,7,3,-0.494763
3,5,8,4,-1.008785
1,6,0,0,-0.337609
3,6,1,5,-1.133164
2,6,2,1,-0.659556
3,6,3,0,-0.849559
2,6,4,2,-1.093425
1,6,5,0,-0.301818
1,6,6,0,-0.350657
3,6,7,2,-1.143084
3,6,8,2,-1.127077
1,7,0,4,-0.686867
1,7,1,3,-0.515721
1,7,2,4,-0.809582
1,7,3,4,-0.768432
1,7,4,3,-0.502461
1,7,5,5,-0.339217
1,7,6,1,0.034636
1,7,7,4,-0.833643
1,7,8,3,-0.473119
3,8,0,2,-1.144695
3,8,0,2,-1.156122
1,8,2,1,-0.287555
3,8,0,2,-1.156436
1,8,4,4,-0.749986
1,8,5,1,-0.117745
3,8,6,0,-0.528311
1,8,7,1,-0.167959
1,8,8,0,-0.127086
1,9,0,2,-0.550844
1,9,1,2,-0.562396
1,9,2,4,-0.598227
1,9,3,1,-0.384365
2,9,4,2,-1.075472
1,9,5,2,-0.558143
1,9,6,5,-0.756852
1,9,7,1,-0.347898
3,9,8,2,-1.038826
1,10,0,0,-0.056787
1,10,1,4,-0.864075
3,10,2,2,-1.291899
1,10,3,3,-0.425043
1,10,4,0,-0.010489
1,10,5,4,-0.700507
1,10,6,2,-0.817082
2,10,7,0,-0.394040
3,10,8,2,-1.120702
1,11,0,2,-0.513184
1,11,1,3,-0.517830
3,11,2,2,-0.873273
3,11,3,3,-0.852046
1,11,4,4,-0.740382
3,11,5,5,-0.878104
1,11,6,4,-0.803595
1,11,7,3,-0.457040
1,11,8,3,-0.445415
2,12,0,1,-0.502192
1,12,1,5,-0.825457
2,12,1,5,-0.981031
2,12,1,5,-0.965899
1,12,4,3,-0.335314
1,12,5,3,-0.376417
1,12,6,3,-0.404669
1,12,7,1,-0.217426
2,12,8,1,-0.369240
1,13,0,4,-0.687299
1,13,1,2,-0.442827
1,13,2,3,-0.465272
1,13,3,2,-0.298967
1,13,4,3,-0.465503
1,13,5,3,-0.539575
1,13,6,4,-0.742798
1,13,7,0,0.039863
1,13,8,4,-0.719612
2,14,3,5,-1.475064
2,14,3,5,-1.102342
3,14,2,2,-1.433895
2,14,3,5,-1.401934
3,14,6,5,-1.546707
3,14,5,2,-1.467012
1,14,6,5,-0.801079
2,14,6,5,-1.469544
3,14,6,5,-1.576138
2,15,0,0,-0.744860
1,15,1,3,-0.562739
1,15,2,0,-0.247344
3,15,3,0,-1.241673
1,15,4,0,-0.258925
2,15,5,0,-0.693165
1,15,6,3,-0.560368
2,15,7,0,-0.669177
2,15,8,5,-1.196112
1,16,0,1,-0.331878
1,16,1,2,-0.693787
1,16,2,1,-0.268915
1,16,3,1,-0.131947
1,16,4,1,-0.157227
1,16,5,1,-0.029532
1,16,6,5,-0.847326
1,16,7,1,-0.328900
1,16,8,1,-0.288155
1,17,0,5,-0.820389
2,17,0,5,-0.951982
1,17,2,4,-0.579845
1,17,3,5,-1.061940
3,17,6,5,-2.005425
1,17,5,1,-0.356163
3,17,6,5,-1.971757
3,17,6,5,-2.021746
2,17,8,5,-1.819865
3,18,0,3,-0.824004
