# n_neighbors,slab_index,site_index,metal_index,energy
1,0,0,3,1.063361
1,0,1,0,1.538693
1,0,2,3,1.075920
1,0,3,3,0.994769
1,0,4,1,1.384123
2,0,5,0,0.932529
1,0,6,1,1.424941
1,0,7,1,1.403045
2,0,8,3,0.997444
3,1,1,3,1.077764
1,1,1,3,0.978002
1,1,2,0,1.493997
1,1,3,1,1.420243
1,1,4,4,0.817840
1,1,5,1,1.265302
1,1,6,1,1.385776
3,1,7,0,0.819337
3,1,8,0,0.841159
3,2,0,5,0.041632
3,2,1,2,0.061567
1,2,2,3,0.952263
3,2,3,2,0.288313
2,2,4,2,0.558048
1,2,5,4,0.774790
1,2,6,3,0.968459
3,2,7,5,0.045532
1,2,8,3,0.973598
3,3,3,5,0.134607
3,3,3,5,0.211056
1,3,2,4,0.866713
3,3,3,5,0.131776
1,3,4,4,0.820697
3,3,5,2,0.139753
1,3,6,2,1.105270
1,3,7,4,0.747542
2,3,7,4,0.713129
2,4,0,3,0.797138
2,4,3,2,0.257933
2,4,2,1,1.012081
3,4,3,2,0.231127
2,4,4,2,0.510081
1,4,5,0,1.310821
3,4,4,2,0.245168
1,4,7,2,0.760562
1,4,8,4,0.873246
1,5,0,5,0.848973
2,5,1,5,0.325718
1,5,2,0,1.420813
2,5,4,5,0.365842
3,5,1,5,0.024944
1,5,5,3,0.974517
1,5,6,4,0.976457
1,5,7,3,1.049070
3,5,8,4,0.598836
3,6,3,0,0.701298
3,6,1,5,0.387820
3,6,2,1,0.826090
2,6,6,0,0.695100
2,6,4,2,0.397727
3,6,5,0,0.707098
1,6,6,0,1.165256
2,6,7,2,0.295087
3,6,8,2,0.325418
1,7,0,4,0.861746
1,7,1,3,1.080416
1,7,2,4,0.778571
1,7,3,4,0.771455
1,7,4,3,1.080219
1,7,5,5,1.155950
1,7,6,1,1.532817
1,7,7,4,0.746834
1,7,8,3,1.098579
2,8,0,2,0.588295
1,8,1,0,1.389138
1,8,2,1,1.264453
3,8,3,2,0.634352
1,8,4,4,0.751243
1,8,5,1,1.420953
1,8,6,0,1.374939
1,8,7,1,1.341157
1,8,8,0,1.360109
1,9,0,2,0.894082
1,9,1,2,0.893343
3,9,5,2,0.522427
3,9,3,1,0.368278
1,9,4,2,0.837918
1,9,5,2,0.891210
2,9,6,5,0.600378
1,9,7,1,1.180417
1,9,8,2,0.912980
2,10,1,4,0.611221
1,10,1,4,0.686765
2,10,2,2,0.659693
2,10,3,3,0.977667
1,10,4,0,1.516698
1,10,5,4,0.836576
1,10,6,2,0.795538
2,10,7,0,1.072267
3,10,8,2,0.410602
1,11,0,2,0.932889
1,11,1,3,0.963719
2,11,2,2,0.652921
1,11,3,3,1.074954
1,11,4,4,0.821719
2,11,5,5,0.571033
1,11,6,4,0.772520
2,11,7,3,0.866916
1,11,8,3,1.125853
2,12,0,1,0.991568
1,12,1,5,0.638296
1,12,2,3,1.117104
3,12,1,5,0.558944
1,12,4,3,1.189215
1,12,5,3,1.181112
1,12,6,3,1.128156
1,12,7,1,1.317128
1,12,8,1,1.261415
1,13,0,4,0.869913
3,13,1,2,0.714632
2,13,5,3,0.675399
2,13,3,2,0.859663
1,13,4,3,1.039378
1,13,5,3,1.026269
1,13,6,4,0.832455
1,13,7,0,1.639838
1,13,8,4,0.772452
3,14,0,2,-0.047484
2,14,3,5,0.295787
1,14,2,2,0.660247
2,14,3,5,0.297705
1,14,4,2,0.660876
1,14,5,2,0.647253
2,14,6,5,0.025847
3,14,6,5,-0.054239
2,14,8,1,0.945085
1,15,0,0,1.189985
1,15,1,3,0.973936
1,15,2,0,1.246575
1,15,3,0,1.230980
1,15,4,0,1.217850
1,15,5,0,1.127084
1,15,6,3,0.981733
2,15,7,0,0.776602
3,15,8,5,0.250704
1,16,0,1,1.239016
1,16,1,2,0.814656
1,16,2,1,1.226085
1,16,3,1,1.400370
1,16,4,1,1.356575
1,16,5,1,1.503827
1,16,6,5,0.622246
1,16,7,1,1.223316
1,16,8,1,1.242529
1,17,0,5,0.679463
1,17,1,4,0.860005
1,17,2,4,0.986145
2,17,3,5,-0.281349
3,17,6,5,-0.522335
2,17,5,1,0.126660
3,17,6,5,-0.516783
3,17,6,5,-0.513226
3,17,8,5,-0.229138
2,18,0,3,0.696551
3,18,1,0,0.265450
3,18,2,0,0.385866
2,18,4,5,0.132573
1,18,4,5,0.458904
3,18,5,1,0.990241
1,18,6,0,1.139018
2,18,7,0,0.706456
3,18,8,2,0.261607
3,19,1,5,-0.129511
3,19,1,5,-0.132575
2,19,2,1,1.120976
1,19,3,1,1.380333
1,19,4,1,1.404133
1,19,5,4,0.841280
1,19,6,1,1.352524
3,19,7,5,-0.132665
1,19,8,1,1.311264
1,20,0,1,1.372991
1,20,1,2,1.001666
1,20,2,1,1.350391
2,20,3,2,0.567681
1,20,4,1,1.353852
1,20,5,2,0.932258
1,20,6,3,1.171398
1,20,7,1,1.434533
1,20,8,3,1.040172
1,21,0,2,1.132237
3,21,3,2,0.373918
1,21,2,4,0.970430
3,21,3,2,0.383553
3,21,3,2,0.353648
1,21,5,4,1.001470
1,21,6,2,0.972631
1,21,7,4,0.942561
1,21,8,2,1.036511
1,22,0,3,1.078000
1,22,1,1,1.338282
1,22,2,0,1.628928
1,22,3,3,1.063703
1,22,4,3,1.043628
1,22,5,1,1.417791
1,22,6,1,1.485032
1,22,7,3,1.128611
1,22,8,1,1.493535
3,23,1,2,-0.087647
3,23,1,2,-0.243322
2,23,2,1,0.904722
1,23,3,1,1.284350
2,23,4,1,1.150456
1,23,5,1,1.231248
1,23,6,1,1.217662
3,23,7,5,-0.249713
3,23,7,5,-0.256780
2,24,0,0,0.756124
1,24,1,0,1.204531
2,24,2,2,0.446085
3,24,3,2,-0.011238
1,24,4,5,0.552585
2,24,5,2,0.413327
1,24,6,2,0.650647
2,24,7,5,0.370268
2,24,8,5,0.308648
1,25,0,0,1.534280
1,25,1,1,1.423648
1,25,2,4,0.760280
1,25,3,4,0.869280
2,25,6,0,1.062781
